,dataset_first_,architecture_first_,added_num_triangles_first_,k_wl_turbo_version_first_,k_wl_turbo_first_,best_test_acc_mean_count,best_test_acc_mean_mean,best_test_acc_mean_std,best_val_acc_mean_mean,best_val_acc_mean_std
2,IMDB-BINARY,1-1-imdb_turbo,FALSE,disconnected,TRUE,20,0.7259,0.0046,0.7151,0.0063
3,IMDB-BINARY,1-2-3-imdb,FALSE,FALSE,FALSE,21,0.7217,0.0046,0.7109,0.0037
4,IMDB-BINARY,1-2-3-imdb,FALSE,both_k_disconnected,TRUE,20,0.7258,0.0063,0.7149,0.0054
5,IMDB-BINARY,1-2-3-imdb,FALSE,disconnected,TRUE,24,0.7253,0.0063,0.7167,0.0062
6,IMDB-BINARY,1-2-3-imdb,TRUE,FALSE,FALSE,20,0.7307,0.0069,0.729,0.0039
7,IMDB-BINARY,1-2-imdb,FALSE,FALSE,FALSE,20,0.7217,0.0048,0.7108,0.0068
8,IMDB-BINARY,1-2-imdb,FALSE,disconnected,TRUE,20,0.7258,0.0052,0.719,0.0065
9,IMDB-BINARY,1-3-imdb,FALSE,FALSE,FALSE,20,0.7201,0.0037,0.7146,0.0058
10,IMDB-BINARY,1-3-imdb,FALSE,disconnected,TRUE,20,0.7256,0.0066,0.7246,0.0044
11,IMDB-BINARY,1-imdb-added-layers,FALSE,FALSE,FALSE,20,0.7149,0.0088,0.723,0.0068
12,IMDB-BINARY,1-imdb,FALSE,FALSE,FALSE,40,0.7112,0.0093,0.7242,0.0091
13,IMDB-BINARY,1-imdb,TRUE,FALSE,FALSE,40,0.7259,0.0088,0.7409,0.0079
14,IMDB-BINARY,3-imdb,FALSE,FALSE,FALSE,20,0.7235,0.0054,0.723,0.0049
15,IMDB-BINARY,3-no-init-imdb,FALSE,FALSE,FALSE,20,0.7211,0.0045,0.7152,0.0038
20,MUTAG,1-2-3-mutag,FALSE,FALSE,FALSE,79,0.8231,0.0147,0.8457,0.0178
21,MUTAG,1-2-3-mutag,FALSE,FALSE,TRUE,50,0.8296,0.0154,0.8599,0.0168
22,MUTAG,1-2-3-mutag,TRUE,FALSE,FALSE,100,0.8254,0.0057,0.8383,0.0149
23,MUTAG,1-mutag_turbo,FALSE,FALSE,TRUE,50,0.8217,0.0151,0.844,0.013
24,MUTAG,1-mutag,FALSE,FALSE,FALSE,42,0.8213,0.0192,0.8237,0.0188
25,MUTAG,1-mutag,TRUE,FALSE,FALSE,40,0.8324,0.0052,0.8193,0.008
