,lr,seed,model,split,device,epochs,min_lr,dataset,emb_dim,pooling,drop_out,max_time,tracking,drop_feat,batch_size,k_wl_turbo,num_layers,config_file,cross_val_id,do_drop_feat,lr_scheduler,node_encoder,use_tracking,virtual_node,cross_val_run,k_wl_set_based,num_mlp_layers,transform_k_wl,add_node_degree,sequential_k_wl,cross_validation,use_node_encoder,use_virtual_node,add_num_triangles,k_wl_pool_function,lr_schedule_patience,connected_k_wl_last_k,k_wl_compute_attributes,k_wl_separate_embedding,lr_scheduler_decay_rate,lr_scheduler_decay_steps,k_wl_turbo_max_group_size,filter_data_max_graph_size,Train/BatchLoss,Val/rocauc (ogb),Test/rocauc (ogb),_step,_runtime,Test/Loss,LearningRate,Epoch,Val/Loss,Train/Loss,_timestamp,Final/Train/Loss,Final/Test/rocauc (ogb),BestTest/Val/rocauc (ogb),_wandb,Final/Val/Loss,Final/Test/Loss,BestTest/Val/Loss,BestTest/Test/Loss,Final/Val/rocauc (ogb),BestTest/Test/rocauc (ogb),Val/accuracy,Final/Val/accuracy,Final/Test/accuracy,BestTest/Test/accuracy,Test/accuracy,BestTest/Val/accuracy
0,0.0001,42,GIN,0,0,100,1e-05,ogbg-moltox21,16,sum,0.0,12,1,0,4,1,3,,48f57344-0347-446d-8e1f-057ee4741769,False,ReduceLROnPlateau,1,True,0,1,1,1,3,1,1,2,True,False,0,mode,10000,1,1,0,0.5,50,-1,70,0.0629880279302597,0.6469427422347525,0.6506671729396054,5929.0,68.06067991256714,0.2923722166839677,0.0001,3.0,0.2921470927434518,0.23104911166261455,1708273073.682941,,,,,,,,,,,,,,,,
1,0.0001,42,GIN,0,0,100,1e-05,ogbg-moltox21,16,sum,0.0,12,1,0,4,1,3,,48f57344-0347-446d-8e1f-057ee4741769,False,ReduceLROnPlateau,1,True,0,0,1,1,3,1,1,2,True,False,0,mode,10000,1,1,0,0.5,50,-1,70,0.06966393440961838,0.75265556919905,0.7283781116920792,156200.0,1720.7003543376925,0.27579696614217636,0.0001,100.0,0.2682809396302654,0.19098400140288013,1708273000.3991823,0.1950368658340787,0.7248517476737351,0.7527005967743317,{'runtime': 1720},0.26794111354689654,0.27437892127394053,0.26733349578699095,0.26733349578699095,0.756055060488266,0.7287510250671997,,,,,,
2,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,8,sum,0.5,12,1,0,20,0,9,,70a58344-0bcc-4225-bad7-6904d6a9501b,False,ReduceLROnPlateau,1,True,0,1,1,1,0,1,1,2,True,False,0,mode,10000,0,0,0,0.5,50,-1,70,0.29742488265037537,0.7295165492346397,0.6891425036883332,31400.0,477.06824254989624,0.29738717277844745,0.001,100.0,0.28891969289529185,0.21112934638677747,1708271272.8102477,0.21104035191584075,0.6854985148944356,0.7295165492346397,{'runtime': 475},0.28317339285415744,0.29298301483504474,0.28891969289529185,0.28891969289529185,0.7336295269851268,0.6891425036883332,,,,,,
3,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,8,sum,0.5,12,1,0,20,0,9,,70a58344-0bcc-4225-bad7-6904d6a9501b,False,ReduceLROnPlateau,1,True,0,0,1,1,0,1,1,2,True,False,0,mode,10000,0,0,0,0.5,50,-1,70,0.36508408188819885,0.7202430791567881,0.6843363084560729,31400.0,475.1370761394501,0.3089158417036136,0.001,100.0,0.3036141112813999,0.21330501655285575,1708270789.458141,0.2140641958810549,0.6747926652456585,0.7202430791567881,{'runtime': 474},0.2785627545279133,0.2848544188309461,0.3036141112813999,0.3036141112813999,0.7277396129976336,0.6843363084560729,,,,,,
4,0.0001,42,GIN,0,0,100,1e-05,ogbg-moltox21,8,mean,0.5,12,1,0,20,0,9,,97c0f559-5fe9-4a03-bda5-bfd3e92d9afe,False,ReduceLROnPlateau,1,True,0,1,1,1,0,1,1,2,True,False,0,mode,10000,0,0,0,0.5,50,-1,70,0.3306354284286499,0.6780815108860505,0.655620530572073,31400.0,486.7329831123352,0.2856401369596521,0.0001,100.0,0.28293409578299245,0.22507460342313723,1708270305.732933,0.2334678963480833,0.664314447002695,0.688274143307498,{'runtime': 485},0.2818501289793799,0.2853227404411882,0.28243668690497775,0.28243668690497775,0.6918994944182875,0.6651828256827911,,,,,,
5,0.0001,42,GIN,0,0,100,1e-05,ogbg-moltox21,8,mean,0.5,12,1,0,20,0,9,,97c0f559-5fe9-4a03-bda5-bfd3e92d9afe,False,ReduceLROnPlateau,1,True,0,0,1,1,0,1,1,2,True,False,0,mode,10000,0,0,0,0.5,50,-1,70,0.3350740075111389,0.6786512077008587,0.6530510119584423,31400.0,470.090882062912,0.28526161471381783,0.0001,100.0,0.28230155016816233,0.22598411452690023,1708269814.046539,0.22856591076962232,0.6685976484774384,0.6898559298857564,{'runtime': 469},0.2775870144715105,0.2801844908390194,0.2800434994983611,0.2800434994983611,0.6910569669972478,0.6688170046772584,,,,,,
6,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,64,mean,0.0,12,1,0,20,0,4,,c2e4faa3-38ab-4fa8-8b7d-f31bbeab4f70,False,ReduceLROnPlateau,1,True,0,1,1,1,2,1,1,2,True,False,0,mode,10000,1,1,0,0.5,50,-1,70,0.2946256101131439,0.7732755121211684,0.7362346658965323,31400.0,416.0819776058197,0.3782311171138038,0.001,100.0,0.35389258317291816,0.09363213733664616,1708269337.1305096,0.1365077099650955,0.7349728245044033,0.7800618825926993,{'runtime': 414},0.2850515613412115,0.3036298982333392,0.3084072264638547,0.3084072264638547,0.7807443539998214,0.7495836574213771,,,,,,
7,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,64,mean,0.0,12,1,0,20,0,4,,c2e4faa3-38ab-4fa8-8b7d-f31bbeab4f70,False,ReduceLROnPlateau,1,True,0,0,1,1,2,1,1,2,True,False,0,mode,10000,1,1,0,0.5,50,-1,70,0.3506990373134613,0.7547093161374933,0.731544315871774,31400.0,414.2741379737854,0.3656726267654449,0.001,100.0,0.3643067721881446,0.0942729238297782,1708268916.938067,0.10910425923385134,0.7323752123082783,0.7766136921160881,{'runtime': 413},0.30498276983330996,0.3291861336523046,0.2791335936418303,0.2791335936418303,0.7839989507252697,0.7465370655401031,,,,,,
8,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,16,mean,0.5,12,1,0,4,1,3,,c97ba1e6-70b6-48ff-8c18-8fb3937652dd,False,ReduceLROnPlateau,1,True,0,1,1,1,1,1,1,2,True,False,0,mode,10000,1,1,0,0.5,50,-1,70,0.07592812180519104,0.757736266426468,0.7371910289135739,156200.0,1421.6691303253174,0.27190060684612644,0.001,100.0,0.26419403597267993,0.19390952526133667,1708268495.8916624,0.1972721367501479,0.7278526273870148,0.7577166930155217,{'runtime': 1419},0.2703773483981882,0.28538692868702736,0.2661152583983003,0.2661152583983003,0.7743661511547969,0.7483921982389243,,,,,,
9,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,16,mean,0.5,12,1,0,4,1,3,,c97ba1e6-70b6-48ff-8c18-8fb3937652dd,False,ReduceLROnPlateau,1,True,0,0,1,1,1,1,1,2,True,False,0,mode,10000,1,1,0,0.5,50,-1,70,0.03694159910082817,0.7626260220905458,0.7291106233680537,156200.0,1420.883945941925,0.2723630004717658,0.001,100.0,0.2598688459427286,0.19163593471955023,1708267066.0326889,0.19619373984584745,0.7359301853363712,0.7512925650036507,{'runtime': 1420},0.2581618406390711,0.27392652227232855,0.2630233983237456,0.2630233983237456,0.7675415904284179,0.746380896344884,,,,,,
